ROUTE,DAY,DELAY
FLL-MCO,FRI,1359
FLL-PHL,FRI,3548
FLL-PHX,FRI,638
FLL-PIT,FRI,1582
FLL-PBG,FRI,747
FLL-RDU,FRI,1040
FLL-RIC,FRI,1085
FLL-DCA,FRI,5366
FLL-SFO,FRI,2135
FLL-STL,FRI,406
FLL-SWF,FRI,420
FLL-TPA,FRI,3643
FLL-PVD,FRI,765
FLL-TTN,FRI,1135
FLL-IAD,FRI,313
FLL-HPN,FRI,1062
FLL-HOU,FRI,250
FLL-ORH,FRI,773
BOS-CAK,FRI,898
BOS-ACY,FRI,265
BOS-AUS,FRI,221
BOS-BWI,FRI,5780
BOS-BUF,FRI,793
BOS-CHS,FRI,376
BOS-CLT,FRI,4681
BOS-MDW,FRI,1981
BOS-ORD,FRI,10515
BOS-CVG,FRI,507
BOS-CLE,FRI,1133
BOS-DFW,FRI,3706
BOS-DAL,FRI,97
BOS-DEN,FRI,3889
BOS-DTW,FRI,5131
BOS-FLL,FRI,4189
BOS-MKE,FRI,694
BOS-IAH,FRI,2826
BOS-ATL,FRI,6099
BOS-IND,FRI,110
BOS-JAX,FRI,973
BOS-JFK,FRI,9563
BOS-CMH,FRI,109
BOS-MCI,FRI,599
BOS-LGA,FRI,17969
BOS-LGB,FRI,639
BOS-LAX,FRI,5429
BOS-MSY,FRI,514
BOS-MVY,FRI,102
BOS-LAS,FRI,2547
BOS-OAK,FRI,178
BOS-MIA,FRI,2707
BOS-MSP,FRI,2299
BOS-MYR,FRI,130
BOS-ACK,FRI,100
BOS-BNA,FRI,461
BOS-EWR,FRI,7669
BOS-SJC,FRI,556
BOS-MCO,FRI,4761
BOS-PBI,FRI,3440
BOS-PHL,FRI,8352
BOS-PHX,FRI,2649
BOS-PIT,FRI,1129
BOS-PDX,FRI,517
BOS-RDU,FRI,1736
BOS-RIC,FRI,3422
BOS-DCA,FRI,9524
BOS-SMF,FRI,155
BOS-SLC,FRI,344
BOS-SAN,FRI,1271
BOS-SFO,FRI,8220
BOS-SRQ,FRI,352
BOS-SAV,FRI,158
BOS-SEA,FRI,1707
BOS-RSW,FRI,2426
BOS-STL,FRI,961
BOS-TPA,FRI,1616
BOS-IAD,FRI,1781
BOS-HOU,FRI,1189
IAH-ABQ,FRI,1614
IAH-AEX,FRI,663
IAH-ASE,FRI,468
IAH-AUS,FRI,4277
IAH-BWI,FRI,2491
IAH-BTR,FRI,1854
IAH-LIT,FRI,1529
IAH-BHM,FRI,2088
IAH-LEX,FRI,295
IAH-BOI,FRI,562
IAH-BRO,FRI,1124
IAH-CHS,FRI,1006
IAH-CLT,FRI,3750
IAH-ORD,FRI,10148
IAH-CVG,FRI,1688
IAH-COS,FRI,1113
IAH-CLE,FRI,1865
IAH-CAE,FRI,404
IAH-CRP,FRI,2495
IAH-DFW,FRI,10025
IAH-DAL,FRI,347
IAH-HNL,FRI,1050
IAH-DEN,FRI,9081
IAH-DSM,FRI,214
IAH-VPS,FRI,1231
IAH-DTW,FRI,4449
IAH-EGE,FRI,116
IAH-CLL,FRI,614
IAH-ELP,FRI,2069
IAH-OMA,FRI,1446
IAH-FLL,FRI,3896
IAH-BZN,FRI,0
IAH-BOS,FRI,3115
IAH-MKE,FRI,971
IAH-PIA,FRI,303
IAH-GRR,FRI,508
IAH-GJT,FRI,269
IAH-GSP,FRI,713
IAH-GPT,FRI,1882
IAH-GUC,FRI,0
IAH-ATL,FRI,5528
IAH-HSV,FRI,1128
IAH-IND,FRI,1543
IAH-JAC,FRI,94
IAH-JAN,FRI,2183
