ROUTE,DAY,DELAY
ORD-RDU (Chicago OHare International  to Raleigh Durham International ),FRI,3567
ORD-RAP (Chicago OHare International  to Rapid City Regional ),FRI,746
ORD-RNO (Chicago OHare International  to Reno Tahoe International ),FRI,1107
ORD-RIC (Chicago OHare International  to Richmond International ),FRI,3020
ORD-ROA (Chicago OHare International  to Roanoke–Blacksburg Regional ),FRI,852
ORD-RST (Chicago OHare International  to Rochester International ),FRI,1754
ORD-DCA (Chicago OHare International  to Ronald Reagan Washington National ),FRI,14416
ORD-SMF (Chicago OHare International  to Sacramento International ),FRI,1162
ORD-SLC (Chicago OHare International  to Salt Lake City International ),FRI,6453
ORD-SAT (Chicago OHare International  to San Antonio International ),FRI,2065
ORD-SAN (Chicago OHare International  to San Diego International ),FRI,5565
ORD-SFO (Chicago OHare International  to San Francisco International ),FRI,18833
ORD-SRQ (Chicago OHare International  to Sarasota Bradenton International ),FRI,336
ORD-SAV (Chicago OHare International  to Savannah Hilton Head International ),FRI,1432
ORD-MQT (Chicago OHare International  to Sawyer International ),FRI,1860
ORD-SEA (Chicago OHare International  to Seattle Tacoma International ),FRI,5581
ORD-SUX (Chicago OHare International  to Sioux Gateway Col. Bud Day Field),FRI,1117
ORD-SBN (Chicago OHare International  to South Bend Regional ),FRI,2284
ORD-RSW (Chicago OHare International  to Southwest Florida International ),FRI,2115
ORD-SGF (Chicago OHare International  to Springfield Branson National ),FRI,3186
ORD-STC (Chicago OHare International  to St Cloud Regional ),FRI,144
ORD-STL (Chicago OHare International  to St Louis Lambert International ),FRI,5482
ORD-SYR (Chicago OHare International  to Syracuse Hancock International ),FRI,2891
ORD-TPA (Chicago OHare International  to Tampa International ),FRI,6912
ORD-ANC (Chicago OHare International  to Ted Stevens Anchorage International ),FRI,1099
ORD-CID (Chicago OHare International  to The Eastern Iowa ),FRI,4125
ORD-PVD (Chicago OHare International  to Theodore Francis Green State ),FRI,1039
ORD-TOL (Chicago OHare International  to Toledo Express ),FRI,1366
ORD-TTN (Chicago OHare International  to Trenton Mercer ),FRI,240
ORD-TUS (Chicago OHare International  to Tucson International ),FRI,1411
ORD-TUL (Chicago OHare International  to Tulsa International ),FRI,4111
ORD-SCE (Chicago OHare International  to University Park ),FRI,1773
ORD-CMI (Chicago OHare International  to University of Illinois Willard ),FRI,2623
ORD-IAD (Chicago OHare International  to Washington Dulles International ),FRI,4981
ORD-ALO (Chicago OHare International  to Waterloo Regional ),FRI,1209
